4,Gustafssons Trafikskola,Șdra v�_gen 10 ,39233,KALMAR,+46 480 137 90,info@gustafssonstrafikskola.se,,http://www.gustafssonstrafikskola.se/,11/30/17 9:16,563331,https://www.reco.se/gustafssons-trafikskola,
6,Lasses Trafikskola i Kalmar,Norra V�_gen 44B,39235,Kalmar,+46 480 699 77,lassestrafikskola.kalmar@telia.com,lassestrafikskola.kalmar@telia.com,http://www.lasses-trafikskola.se/,6/13/18 9:37,826935,https://www.reco.se/lasses-trafikskola-i-kalmar,
8,Emmaboda Trafikskola,L̴nggatan 9,36131,EMMABODA,+46 471 102 57,kontor@emmabodatrafikskola.se,kontor@emmabodatrafikskola.se,http://www.emmabodatrafikskola.se/,3/26/18 9:58,3885458,https://www.reco.se/emmaboda-trafikskola,
11,Uttes Trafikskola,V�_stra L̴nggatan 40,57730,HULTSFRED,+46 76 861 12 34,ulrika.andersson@uttestrafikskola.se,ulrika.andersson@uttestrafikskola.se,http://www.uttestrafikskola.se,10/7/18 16:41,3727960,https://www.reco.se/utte-s-trafikskola,
12,M̦nster̴s Trafikskola,��sevadsgatan 6,38331,M��NSTER��S,+46 499 103 30,info@monsterastrafikskola.se,,http://www.monsterastrafikskola.se/,4/26/18 11:03,3722749,https://www.reco.se/monsteras-trafikskola-monsteras,
15,Nybro Trafikskola,Mellangatan 4,38230,NYBRO,+46 73 856 56 61,info@nybrotrafikskola.se,info@nybrotrafikskola.se,http://www.nybrotrafikskola.se/,9/6/18 10:11,3710693,https://www.reco.se/nybro-trafikskola-nybro,
16,Tages Trafikskola,Storgatan 30,38230,NYBRO,+46 481 100 86,tages.tr@spray.se,tages.tr@spray.se,http://www.tagestrafikskola.se/,11/17/18 12:49,1433416,https://www.reco.se/tages-trafikskola,
17,K̦rkort TK� trafikskola,Stengatan 12B BV,57255,OSKARSHAMN,+46 491 154 20,korkort@tkstrafikskola.se,korkort@tkstrafikskola.se,http://tkstrafikskola.se/,6/13/18 9:41,3686315,https://www.reco.se/korkort-tk-s-trafikskola,
19,Berglunds Trafikskola i Kalmar,Șdra Vallgatan 9,38525,Kalmar,+46 486 100 47,info@berglundstrafikskola.se,info@berglundstrafikskola.se,http://www.berglundstrafikskola.se,10/2/18 11:16,3704647,https://www.reco.se/berglunds-trafikskola-i-kalmar,
24,Bodekull Trafikskola,Ronnebygatan 30,37435,KARLSHAMN,+46 454 180 80,bodekull@telia.com,bodekull@telia.com,http://www.bodekulltrafikskola.se,10/7/18 16:37,1856105,https://www.reco.se/bodekull-trafikskola,
25,Lundbergs Bilskola i Karlshamn,��gatan 34,37438,KARLSHAMN,+46 454 121 41,info@lundbergsbilskola.se,,http://lundbergsbilskola.se/,9/22/17 10:46,3830574,https://www.reco.se/lundbergs-bilskola-i-karlshamn,
26,GerthsBo Trafikskola,Norra Smedjegatan 50,37133,KARLSKRONA,+46 455 186 96,info@gerthsbo.se,info@gerthsbo.se,http://10680.str.se/,1/5/18 9:41,610185,https://www.reco.se/gerthsbo-trafikskola,
27,Trosș Trafikskola,Drottninggatan 46,37133,KARLSKRONA,+46 455 255 68,info@trossotrafikskola.se,info@trossotrafikskola.se,http://www.trossotrafikskola.se,10/7/18 17:30,1638846,https://www.reco.se/trosso-trafikskola-ab,
28,Walk In Drive Out,Drottninggatan 21 D,37131,KARLSKRONA,+46 455 188 81,info@wi-do.se,info@wi-do.se,http://13373.str.se/,9/30/18 15:40,3556268,https://www.reco.se/walk-in-drive-out-ab,
29,Krygers Trafikskola,Bellmansv. 2,29333,OLOFSTR��M,+46 454 416 90,info@krygerstrafikskola.se,,http://www.krygerstrafikskola.se/,10/19/17 10:50,3724207,https://www.reco.se/krygers-trafikskola-olofstrom,
30,Trafikskolan i Olofstr̦m,Berzeliusv�_gen 2,29333,OLOFSTR��M,+46 454 997 40,info@trafikolof.se,info@trafikolof.se,http://www.trafikskolan-i-olofstrom.se,11/17/18 12:32,3355555,https://www.reco.se/trafikskolan-i-olofstrom-olofstrom,
